words,sentiment_coeff
eurovision,68.05970589401085
liverpool,-69.72113286783227
song,-74.15573903760848
win,69.88596632444248
year,-71.39509358784545
loreen,74.33727332301527
finland,-69.35421676039557
sweden,73.22468032036272
love,-73.1490341837072
good,-76.39182284256826
like,72.89889451059217
esc,76.23189724074217
amp,-76.70747725697926
think,71.11256178257509
day,70.92603951519844
sbseurovision,73.07090158266463
watch,77.55796250445411
winner,68.81223543756299
time,75.92977862371522
week,-77.35814453471158
night,72.29976582462271
ukraine,79.94055673796535
uk,-76.13520771922164
people,83.22167900448646
final,-76.69782651407806
rehearsal,73.32876837817103
performance,73.79898010334459
m,76.28497890625898
krij,75.48806004363433
great,71.31015902986888
know,78.24827225797706
cha_cha,71.14068945426791
come,74.45505182752711
stage,77.61981876730799
look,74.99864152148915
unitedbymusic,76.20118651504822
vote,74.89151379895286
point,-72.6260029547416
s,-75.67310709390654
today,-77.28938770328978
live,-78.4178143743547
cha,-70.65701813692407
country,76.50979734840456
thank,75.07841852686614
music,-75.26975843141499
big,69.5658616701555
want,73.05461991237127
entry,-80.57560126146026
tattoo,-74.08003568325647
grand_final,75.59011538529356
song_contest,-75.88281444621329
jury,75.3633141093783
need,-74.65494070438946
let,77.16845090370602
amazing,72.91019759913915
host,-78.10328797936127
way,77.84964867124681
th,71.11070501285673
germany,77.27752920526676
result,-74.02480218842537
turquoisecarpet,71.33851744310469
favourite,72.93453641091703
new,78.47224684964768
fan,72.2890099595814
party,-78.57996607838868
listen,-75.75788157480926
city,-80.81976063258566
france,76.5610086844528
event,77.87334953364206
chachacha,70.96061537969932
hope,79.31847059904723
bring,-77.90141263663087
world,-78.49540087858433
israel,74.89040858894077
start,77.62161641377537
video,77.41811515948324
right,-77.78366950886061
thing,-74.31777452786916
mothersday,-80.69060286702188
place,77.34868228847992
eurovisiongr,-75.85970858957474
happy,-70.97285932912224
feel,-75.64699598544745
sweden_win,75.00006116700204
work,76.7505803544224
ready,73.68803953427252
contest,-77.7634671294954
artist,-75.97928187344675
australia,70.57643741667808
italy,-75.51654000731304
fun,-80.28219788298277
end,-76.97871356749245
mae_muller,-78.39374408720006
enjoy,78.03308653947987
norway,-64.81665013403668
ve,76.18363033244057
wait,70.45760009940379
proud,-70.99146644990181
perform,74.79158635989037
bad,-77.9408116605197
hear,78.33361912827866
play,79.84729657713622
check,-70.79012962118647
join,83.07305374794504
second_rehearsal,-67.78850255456877
europe,79.5061269630266
tell,74.32937037661402
spain,-71.14513347335546
esc_esc,65.03485435019081
find,-76.77900137765262
yesterday,75.60713921133605
act,-73.08408709174417
sarah_louise,75.5801812085227
deserve,73.38230329828441
life,-77.46555696982954
turquoise_carpet,-68.46357939735103
guy,73.19681312213028
bbc,82.28396630278759
support,80.71093610062368
second,77.69997890070532
welcome,-77.06689172903516
jury_vote,-73.1665674942853
miss,-72.84184363791634
happen,-75.08213838798113
mean,75.39534344445077
belgium,67.65699185400993
moment,78.89769313564379
loreen_tattoo,68.00607090896649
poland,69.96984175093691
celebrate,-73.45120228080141
austria,-68.3141815011269
beautiful,-75.03807280063447
talk,78.9402455620998
heart,-77.07797476879978
sing,83.24552112042383
queen,-70.16953165297828
follow,-75.88397217953006
hate,-71.84476148713574
lot,-73.41077811787599
post,-82.46892908864407
sure,74.85370969324572
cyprus,66.56465976260876
semifinal,70.70751825727922
photo,71.53052926122304
kaarija,-73.72621375783343
incredible,-75.30269090893445
la_zarra,67.11859785831706
dance,74.29783515528317
televote,-74.56172916237473
semi_final,72.4522150735137
croatia,72.45021856977351
team,-78.44252620311377
actually,75.14984537565739
queen_king,74.24086082009387
hour,-73.3032738252299
home,79.71685656513021
finally,71.94393319183318
friend,-73.63444085718028
favorite,-74.51856633920868
outfit,74.71980764306255
tomorrow,-70.80028510265757
voice,-75.04300324750112
help,-80.06862576306297
tonight,-73.49356248867262
cover,75.37460824586572
ticket,-80.32526351139138
morning,-74.90709764265684
vibe,74.78444975719007
nd,-72.59749351173494
real,74.29870570712227
head,-76.91955168609783
bit,-68.83451258562445
weekend,-68.16073553896332
mother,-81.2629073125165
long,-75.60911120336978
oh,-71.857737760028
greece,-66.44147764244423
man,-78.14672201636051
rob,-69.89022328244293
little,-69.24987535862289
coronation,-76.1555120375136
change,-72.84190974051813
far,-68.96043291371417
write_song,70.57708892087064
try,-76.65880861496537
leave,74.41526420668906
tv,-74.92914598048527
set,-74.28430947473925
competition,74.13391457950475
slovenia,-70.2407586694309
look_like,73.50439707900179
read,-71.39721054832584
singer,-76.7277520158389
tiktok,72.20685830183221
send,-75.90248333742989
serbia,-66.73360399584092
public,-70.63682140990493
stream,-75.91557057530697
open,-75.82643580336702
maybe,-78.56167627960211
ask,-73.12871276908312
singe,-70.891131872758
hold,69.53634516871242
finish,77.96723163760039
yes,-70.17599750666656
remember,-72.67715635147384
number,68.22620660513809
moldova,71.86306784738302
real_winner,-61.86448577226645
turquoisecarpet_unitedbymusic,86.35486747150375
share,83.83878216615908
represent,-72.65463318308215
nice,67.07390201595554
abba,71.06642999272958
lose,67.84824110530357
high,75.05593753153173
include,79.6438801972452
congratulation,-67.59373890546158
sound,75.0400968995165
special,76.5742365252428
vocal,76.90420342047035
stop,75.4604308582946
free,-75.89225251580572
meet,-76.06975305133498
news,-78.53548343095804
month,-69.20061524443251
switzerland,69.6224254678221
tweet,-79.9458904541447
woman,74.94129066358728
believe,-68.00148689401655
history,-74.904089395759
write,75.85584408577154
pop,-72.42685345297589
ireland,69.34873914471353
ukrainian,82.08841958553651
staging,73.37371917318453
ok,-66.86927624813198
audience,-73.36390802945789
st,70.9246921208898
interview,71.4688933624725
pm,80.65599140996805
late,-77.03585454874802
definitely,-67.96769012032716
star,72.41390476705168
forget,-74.40617889449084
brilliant,-74.81141516226357
sunday,-75.05808998751118
fact,74.67760598012077
dress,-72.46232737115541
twitter,-73.68109669883266
estonia,-71.4750504672194
chart,72.95820479191316
x,73.24506457221938
care,-72.19233840752099
unicorn,-69.2186587306935
fantastic,75.11308377958466
power,72.99540587619444
armenia,67.67881509357144
king,68.90125172677536
portugal,-66.7526321701338
expect,-69.25985356251668
voyager,67.4526002081028
learn,-74.10345697676887
close,70.38421320093634
family,-72.06188744133874
fuck,-70.5586734582785
qualify,-70.97803712744899
wonderful,83.06830536821741
celebration,-74.29188977213632
turn,-74.3019519300171
k,73.37043552387455
update,-71.18746169246583
public_vote,71.79046704543093
feel_like,-65.57428101772796
link,-85.72345056043712
sam_ryder,-71.61386799478329
walk,-77.6013919316663
village,-69.66239792109208
hell_edgar,-74.67313197145594
omg,68.06614226271034
saturday,-76.86348895851242
absolutely,68.50408483889753
game,75.25375051802709
different,-73.79590834338302
experience,-73.41189661259463
perfect,82.26069380416577
vs,-72.99700484861921
course,-75.11786145086297
secim,80.77036871850336
blanca_paloma,-67.25834194148172
beat,-81.86037336250811
official,-69.18367212202597
understand,-69.45629204356713
blanka,68.57564619340742
ebu,68.92777440138798
girl,68.84322642787173
guess,-71.90920345196841
happy_mother,-62.21053075186586
u,77.71320451981089
light,-74.37693956368521
lithuania,67.47815208005524
version,-64.69238084815244
hit,-79.8742513474048
alessandra,72.0039248109581
sorry,-70.63516979648196
god,76.57627375356435
voting,-72.3788871613643
season,74.37577287072182
poe,66.21957537043504
picture,67.49687107192364
d,-72.47475524688555
visit,77.51777305835928
true,-72.87931919479186
marco,69.68202728745084
rank,-66.24794202313728
decide,-74.76849995794817
stay,72.28653441865238
band,75.03089717900262
word,75.86410750929448
catch,-74.59703891874972
thread,-69.25236739617262
slay,67.76492069925196
pick,-66.97394384717626
book,-86.22497376136383
gustaph,-64.28404364485172
minute,-68.31069070683314
wow,66.50834274243408
begin,-68.46818172136422
reaction,-62.8693958227611
albania,64.25870710668204
probably,-69.23201743146159
lovely,70.51048425658485
wish,72.21913784680464
lol,70.46970939660952
duevite,-60.65009415069937
sad,-65.82685269197965
swedish,68.88642474631831
pretty,-74.10107231951186
run,-75.76088229326898
huge,70.08708179619885
spotify,72.4342185898897
crazy,-65.65347577877466
maemuller,76.36378225130586
reason,-69.98312301021552
marco_mengoni,-71.65188544144418
record,79.26476067657516
escita,-67.86550663296956
stand,-79.0621048811057
rehearsal_day,66.15425028248258
trend,-77.94035329582753
surprise,-75.7525852850496
arena,73.13792585011643
chance,69.6928544153678
review,72.86735817044725
lord_lose,69.70316287772057
iceland,-65.18916768771352
comment,-80.74764565980253
wake,-73.26302905253306
shit,-68.06683821409379
literally,-64.06265479509648
london,-80.45253806050054
united_kingdom,66.89161757788469
honestly,69.0999426239364
screen,69.40366954928459
break,-66.47527245010104
rock,-71.49947658767668
countdown,-64.98979336793685
euphoria,-72.17618803854644
finnish,-67.5116892044361
crowd,-75.59814750579105
draw,-69.44950874061573
speak,69.46903221450354
victory,-72.82074094770707
away,71.83798776285084
th_th,63.88292575481139
wrong,75.22532141760325
noa_kirel,69.49157752835123
person,69.99430892290067
art,75.5012750998401
eurovisionfun_eurovisiongr,-50.93078716569756
contestant,-68.5967316273749
poe_poe,62.3787002519276
kind,74.16745222592063
interesting,-74.60705945956539
wonder,74.58287885428686
clip,-67.89686878320217
bet,-70.36211772413192
story,-75.99126240708388
reveal,-67.24552620532761
tune,-73.09686893583583
single,-76.6673024545495
joker,-66.13685955617277
matter,68.11298938069149
romania,-70.347345103372
score,72.4173138828935
money,-76.40188366407283
early,-70.75393020377915
theme,73.60436980094023
soon,-75.1672225190354
truly,-75.14600038979134
youtube,70.82317380797407
order,-71.35364618929516
energy,75.21881898055872
agree,-67.33902208959525
euroviisut,-71.50149227103441
rig,-69.00712852595171
wear,-71.18616773766287
evening,-72.92164043503574
nd_rehearsal,57.09441913239144
chloe_hashemi,62.91776274074311
boy,68.94934895332173
odd,-68.28563525528602
track,-75.99121837430945
mae,62.88780244827372
european,73.52498931843415
view,-72.06104409006734
highlight,69.33120487249172
opinion,-67.10076461055056
announce,-66.5205649760111
half,-68.90509601144612
hey,66.72111667666691
hannah_waddingham,-65.54742849439806
hard,-71.52075651051426
eurowizja,71.01295612922507
okay,69.06402260377813
talent,73.29968810150575
judge,-66.42827276201574
flag,-72.55899653107035
iconic,67.3953020413141
choose,70.970002146415
netherlands,67.43745369100611
cause,-65.14592699989466
idea,-64.69243343650565
create,73.98177909746009
child,-79.65478019118407
use,-76.30429781708301
solo,-70.1283077197028
look_forward,74.34422781702767
playlist,-64.78695934742092
community,-77.61485069025147
concert,73.16199438378565
fucking,-71.14999787668425
feature,-78.09671175142934
fabulous,-66.13031000541888
eurovisionsongcont,-77.64348253672459
crown,64.42106671162772
sign,-71.80614983810833
costume,70.72642351488864
hello,59.63158563454849
available,-72.90897551785659
bornpinkinsingapore,-78.78197406448777
add,-74.83624665549115
war,75.55870106378966
joy,78.23981738407328
clearly,-70.44071817796993
podcast,70.31013658597459
louise_bennett,-68.96154766544328
heart_steel,80.32943513940901
krij_chachacha,61.183211372236755
epic,67.3504501196505
especially,72.4367537896761
strong,-65.11956165028676
excite,-67.70640644815576
cry,-66.16463258410094
mention,72.42786104029248
fire,68.03045155365099
funny,73.1345356869729
arrive,66.61981112848684
wanna,62.129741770159406
lead,-79.68011747125071
alika,-66.63258913610525
able,-70.20830922556866
important,72.9269947881499
excited,68.77382296081902
semi,-71.2865831377573
return,-71.87634595759089
buy,-75.10519829028861
vite,-71.13905727524963
blue,75.86159062607351
awesome,-67.68390201415727
tvorchi,65.83180621758801
receive,-74.58357749458742
banger,70.4009240040959
glad,68.35065123283648
dancer,69.58790554111607
sf,-61.66744043704668
rest,69.17083023917839
appear,-70.80792868882047
base,76.50644797687258
black,79.00578508946145
finland_rob,57.88528695335771
imagine,-68.46340847321792
unitedkingdom,-69.91665933456612
andrew_lambrou,-64.32100091310747
house,77.14701697470468
performer,78.39390436725586
fave,-63.66212036723668
afternoon,66.57810999320237
